date,month,year,language,relative_perc
April 2005,April,2005,JavaScript,0.7251512532411409
April 2005,April,2005,Python,0.240276577355229
April 2005,April,2005,R,0.03457216940363008
April 2006,April,2006,JavaScript,0.6514056224899599
April 2006,April,2006,Python,0.3060240963855421
April 2006,April,2006,R,0.04257028112449799
April 2007,April,2007,JavaScript,0.6270553064275037
April 2007,April,2007,Python,0.32810164424514204
April 2007,April,2007,R,0.04484304932735426
April 2008,April,2008,JavaScript,0.5807829181494663
April 2008,April,2008,Python,0.3601423487544484
April 2008,April,2008,R,0.05907473309608541
April 2009,April,2009,JavaScript,0.5148123765635286
April 2009,April,2009,Python,0.4180381830151415
April 2009,April,2009,R,0.06714944042132982
April 2010,April,2010,JavaScript,0.5
April 2010,April,2010,Python,0.4231805929919137
April 2010,April,2010,R,0.07681940700808626
April 2011,April,2011,JavaScript,0.46449511400651466
April 2011,April,2011,Python,0.45016286644951137
April 2011,April,2011,R,0.08534201954397394
April 2012,April,2012,JavaScript,0.4260249554367202
April 2012,April,2012,Python,0.4800950683303625
April 2012,April,2012,R,0.09387997623291743
April 2013,April,2013,JavaScript,0.39324618736383443
April 2013,April,2013,Python,0.49945533769063183
April 2013,April,2013,R,0.10729847494553377
April 2014,April,2014,JavaScript,0.3859649122807018
April 2014,April,2014,Python,0.5042606516290726
April 2014,April,2014,R,0.10977443609022557
April 2015,April,2015,JavaScript,0.3463345864661654
April 2015,April,2015,Python,0.5225563909774436
April 2015,April,2015,R,0.13110902255639098
April 2016,April,2016,JavaScript,0.32534678436317777
April 2016,April,2016,Python,0.5380411937788987
April 2016,April,2016,R,0.1366120218579235
April 2017,April,2017,JavaScript,0.28854855551688136
April 2017,April,2017,Python,0.577445179255134
April 2017,April,2017,R,0.1340062652279847
April 2018,April,2018,JavaScript,0.24320374159602456
April 2018,April,2018,Python,0.6337328266588717
April 2018,April,2018,R,0.12306343174510377
April 2019,April,2019,JavaScript,0.21185567010309272
April 2019,April,2019,Python,0.6868556701030928
April 2019,April,2019,R,0.10128865979381442
April 2020,April,2020,JavaScript,0.19043107531975365
April 2020,April,2020,Python,0.7174324964471814
April 2020,April,2020,R,0.0921364282330649
August 2004,August,2004,JavaScript,0.7421808960270498
August 2004,August,2004,Python,0.22316145393068468
August 2004,August,2004,R,0.034657650042265425
August 2005,August,2005,JavaScript,0.7073770491803278
August 2005,August,2005,Python,0.25655737704918036
August 2005,August,2005,R,0.0360655737704918
August 2006,August,2006,JavaScript,0.6687898089171974
