month,year,language,popularity,hex
July,2004,Abap,0.33999999999999997,#06A9EA
July,2004,Ada,0.36,#101EC8
July,2004,C/C++,10.08,#00599C
July,2004,C#,4.71,#813084
July,2004,Cobol,0.43,#1D1063
July,2004,Dart,0,#2DB6F6
July,2004,Delphi,2.82,#F32835
July,2004,Go,0,#66D0DE
July,2004,Groovy,0.03,#619CBC
July,2004,Haskell,0.22,#8F4E8B
July,2004,Java,30.37,#F8981E
July,2004,JavaScript,8.649999999999999,#F3D23C
July,2004,Julia,0,#369325
July,2004,Kotlin,0,#7F52FF
July,2004,Lua,0.16,#0F007C
July,2004,Matlab,2.11,#F0800E
July,2004,Objective-C,0.19,#AFB6CA
July,2004,Perl,7.380000000000001,#113E62
July,2004,PHP,18.75,#7277AD
July,2004,Python,2.53,#336994
July,2004,R,0.38999999999999996,#2566B5
July,2004,Ruby,0.33,#B01E00
July,2004,Rust,0.08,#000000
July,2004,Scala,0.03,#DE3424
July,2004,Swift,0,#E94F37
July,2004,TypeScript,0,#3178C6
July,2004,VBA,1.44,#93217F
July,2004,Visual Basic,8.559999999999999,NA
August,2004,Abap,0.36,#06A9EA
August,2004,Ada,0.36,#101EC8
August,2004,C/C++,9.81,#00599C
August,2004,C#,4.99,#813084
August,2004,Cobol,0.45999999999999996,#1D1063
August,2004,Dart,0,#2DB6F6
August,2004,Delphi,2.67,#F32835
August,2004,Go,0,#66D0DE
August,2004,Groovy,0.06999999999999999,#619CBC
August,2004,Haskell,0.2,#8F4E8B
August,2004,Java,29.99,#F8981E
August,2004,JavaScript,8.780000000000001,#F3D23C
August,2004,Julia,0,#369325
August,2004,Kotlin,0,#7F52FF
August,2004,Lua,0.15,#0F007C
August,2004,Matlab,2.0500000000000003,#F0800E
August,2004,Objective-C,0.18,#AFB6CA
August,2004,Perl,7.109999999999999,#113E62
August,2004,PHP,19.259999999999998,#7277AD
August,2004,Python,2.64,#336994
August,2004,R,0.41000000000000003,#2566B5
August,2004,Ruby,0.4,#B01E00
August,2004,Rust,0.09,#000000
August,2004,Scala,0.03,#DE3424
August,2004,Swift,0,#E94F37
August,2004,TypeScript,0,#3178C6
August,2004,VBA,1.46,#93217F
August,2004,Visual Basic,8.57,NA
September,2004,Abap,0.41000000000000003,#06A9EA
September,2004,Ada,0.41000000000000003,#101EC8
September,2004,C/C++,9.629999999999999,#00599C
September,2004,C#,5.06,#813084
September,2004,Cobol,0.51,#1D1063
September,2004,Dart,0,#2DB6F6
September,2004,Delphi,2.65,#F32835
September,2004,Go,0,#66D0DE
September,2004,Groovy,0.08,#619CBC
September,2004,Haskell,0.21,#8F4E8B
September,2004,Java,29.709999999999997,#F8981E
September,2004,JavaScript,8.7,#F3D23C
September,2004,Julia,0,#369325
September,2004,Kotlin,0,#7F52FF
September,2004,Lua,0.19,#0F007C
September,2004,Matlab,2.11,#F0800E
September,2004,Objective-C,0.19,#AFB6CA
September,2004,Perl,7.03,#113E62
September,2004,PHP,19.49,#7277AD
September,2004,Python,2.7199999999999998,#336994
September,2004,R,0.4,#2566B5
September,2004,Ruby,0.41000000000000003,#B01E00
September,2004,Rust,0.1,#000000
September,2004,Scala,0.03,#DE3424
September,2004,Swift,0,#E94F37
September,2004,TypeScript,0,#3178C6
September,2004,VBA,1.55,#93217F
September,2004,Visual Basic,8.41,NA
October,2004,Abap,0.4,#06A9EA
October,2004,Ada,0.38,#101EC8
October,2004,C/C++,9.5,#00599C
October,2004,C#,5.3100000000000005,#813084
October,2004,Cobol,0.53,#1D1063
October,2004,Dart,0,#2DB6F6
October,2004,Delphi,2.77,#F32835
October,2004,Go,0,#66D0DE
October,2004,Groovy,0.09,#619CBC
October,2004,Haskell,0.2,#8F4E8B
October,2004,Java,29.12,#F8981E
October,2004,JavaScript,8.469999999999999,#F3D23C
October,2004,Julia,0,#369325
October,2004,Kotlin,0,#7F52FF
